t[hours],CBS397-A,CBS397-B,ITD002-A,ITD002-B,ITD003-A,ITD003-B,ITD0048-A,ITD0048-B,ITD0089-A,ITD0089-B,DU3-A,DU3-B,DV4-A,DV4-B,ITD00157-A,ITD00157-B,ITD00268-A,ITD00268-B,ITD00136-A,ITD00136-B,15M3.3-A,15M3.3-B,ITD00137-A,ITD00137-B,ITD00141-A,ITD00141-B,717-A,717-B,MCHA-A,MCHA-B,ITD0049-A,ITD0049-B,CBS6556-A,CBS6556-B
0,0.468731172,0.444631883,0.438607061,0.40848295,0.456681528,0.492830462,0.46270635,0.474755995,0.402458127,0.438607061,0.516929751,0.420532594,0.468731172,0.450656706,0.414507772,0.516929751,0.504880106,0.450656706,0.420532594,0.450656706,0.498855284,0.450656706,0.559103506,0.480780817,0.480780817,0.474755995,0.456681528,0.486805639,0.498855284,0.46270635,0.438607061,0.528979395,0.450656706,0.396433305
1,0.522954573,0.456681528,0.504880106,0.468731172,0.535004217,0.571153151,0.643451018,0.679599952,0.607302085,0.643451018,0.745872997,0.474755995,0.667550307,0.583202796,0.535004217,0.751897819,0.697674419,0.667550307,0.583202796,0.667550307,0.667550307,0.559103506,0.691649596,0.607302085,0.872394264,0.733823352,0.679599952,0.631401374,0.553078684,0.64947584,0.486805639,0.661525485,0.589227618,0.619351729
2,0.631401374,0.565128329,0.583202796,0.528979395,0.571153151,0.685624774,0.745872997,0.926617665,0.721773708,0.812146042,0.932642487,0.751897819,0.812146042,0.751897819,0.739848174,1.065188577,0.836245331,0.836245331,0.67357513,0.751897819,0.812146042,0.751897819,0.932642487,0.757922641,1.023014821,0.962766598,0.836245331,0.848294975,0.739848174,0.589227618,0.619351729,0.709724063,0.980841065,0.72779853
3,0.721773708,0.691649596,0.643451018,0.601277262,0.872394264,0.99289071,0.908543198,0.99289071,0.91456802,0.878419087,1.101337511,0.944692132,0.980841065,0.890468731,0.884443909,1.282082179,1.342330401,1.619472226,0.926617665,0.950716954,0.998915532,0.932642487,1.071213399,1.016989999,1.209784311,1.251958067,0.956741776,1.053138932,1.010965177,0.920592843,0.878419087,0.769972286,1.330280757,0.836245331
4,1.2338836,1.221833956,1.089287866,1.023014821,1.089287866,1.221833956,1.348355224,1.486926136,1.143511266,1.324255934,1.456802024,1.282082179,1.221833956,1.149536089,1.300156645,1.589348114,1.655621159,1.679720448,1.511025425,1.354380046,1.529099892,1.414628268,1.571273647,1.758043138,1.655621159,1.637546692,1.089287866,1.131461622,1.101337511,1.167610555,1.107362333,1.016989999,1.282082179,1.655621159
5,1.691770093,1.703819737,1.559224003,1.517050247,1.595372936,1.758043138,1.872514761,1.830341005,1.649596337,1.788167249,1.89661405,1.800216894,1.81829136,1.679720448,1.655621159,2.053259429,2.390649476,2.53524521,1.944812628,1.866489939,1.715869382,1.685745271,1.884564405,1.95083745,1.95083745,1.884564405,1.625497048,1.595372936,1.559224003,1.523075069,1.486926136,1.486926136,1.685745271,2.221954452
6,2.08338354,2.137606941,2.017110495,2.234004097,2.378599831,2.655741656,2.396674298,2.462947343,2.125557296,2.221954452,2.511145921,2.420773587,2.137606941,2.071333896,2.209904808,2.288227497,2.956982769,2.782262923,3.059404748,3.155801904,2.487046632,2.354500542,2.08338354,2.137606941,2.29425232,2.155681407,2.131582118,2.047234607,2.149656585,2.071333896,2.360525365,2.149656585,2.185805519,2.679840945
7,2.764188456,2.740089167,2.547294855,2.408723943,2.679840945,2.908784191,3.041330281,2.98710688,2.541270033,2.559344499,3.155801904,3.041330281,2.619592722,2.679840945,2.722014701,2.661766478,3.029280636,3.047355103,3.51729124,3.38474515,2.981082058,3.059404748,2.890709724,2.93288348,2.722014701,2.890709724,2.734064345,2.438848054,2.80033739,2.752138812,2.553319677,2.21592963,2.559344499,2.890709724
8,2.896734546,2.914809013,2.818411857,2.728039523,3.017230992,3.131702615,3.57151464,3.613688396,2.890709724,2.969032414,3.601638752,3.469092662,3.457043017,3.38474515,3.258223882,3.282323171,3.155801904,3.041330281,3.896855043,3.860706109,3.282323171,3.336546572,3.451018195,3.469092662,3.444993373,2.956982769,3.420894084,3.348596216,3.258223882,3.300397638,2.625617544,2.559344499,2.758163634,3.06542957
9,3.282323171,3.161826726,2.963007591,3.240149416,3.342571394,3.553440174,3.758284131,3.939028799,3.667911797,3.758284131,3.884805398,3.872755754,3.619713218,3.872755754,3.64983733,3.613688396,3.523316062,3.372695505,4.02337631,3.91492951,3.589589107,3.643812508,3.758284131,3.57151464,3.890830221,3.505241595,3.673936619,3.553440174,3.679961441,3.511266418,3.149777082,2.914809013,2.963007591,3.113628148
10,3.583564285,3.463067839,3.432943728,3.553440174,3.583564285,3.746234486,3.824557176,3.987227377,3.758284131,3.33052175,4.065550066,4.029401133,3.685986263,3.758284131,3.619713218,3.643812508,3.740209664,3.70406073,4.107723822,4.065550066,3.957103265,3.824557176,3.685986263,3.70406073,3.878780576,3.981202555,3.824557176,3.945053621,3.884805398,3.758284131,3.692011086,3.011206169,3.306422461,3.312447283
11,3.824557176,3.764308953,3.70406073,3.643812508,3.710085552,3.902879865,4.029401133,4.119773467,3.945053621,4.011326666,4.210145801,4.005301844,3.884805398,3.860706109,4.02337631,3.884805398,3.824557176,3.91492951,4.053500422,3.902879865,3.975177732,3.963128088,3.83660682,3.999277021,3.96915291,4.035425955,3.842631642,3.96915291,3.890830221,3.776358597,3.710085552,3.420894084,3.499216773,3.402819617
12,3.764308953,3.824557176,3.710085552,3.577539463,3.872755754,4.017351488,4.005301844,4.1559224,3.884805398,4.077599711,4.059525244,4.186046512,3.860706109,3.91492951,3.951078443,3.878780576,3.963128088,3.91492951,3.975177732,3.926979154,4.017351488,3.96915291,3.902879865,4.005301844,3.884805398,4.137847933,3.758284131,4.041450777,3.878780576,3.764308953,3.764308953,3.758284131,3.692011086,3.673936619
13,3.908904687,3.945053621,3.824557176,3.619713218,3.975177732,3.96915291,4.065550066,3.933003976,4.083624533,4.059525244,3.945053621,4.065550066,4.354741535,3.83660682,4.035425955,3.945053621,3.890830221,3.824557176,4.077599711,3.824557176,3.926979154,3.999277021,3.830581998,3.96915291,3.896855043,4.186046512,3.945053621,3.963128088,3.794433064,3.860706109,3.824557176,3.878780576,3.685986263,3.896855043
